vendor_id,year,ds,yhat,yhat_lower,yhat_upper
V001,2005,2005-01-01,88.56838533313109,85.70082456220469,91.59912429413467
V001,2006,2006-01-01,92.65193132772973,89.70025945931171,95.67299830499122
V001,2007,2007-01-01,96.29176113058135,93.43411182233095,99.29638473712443
V001,2008,2008-01-01,91.03442299585679,88.14519285717417,93.92625001657389
V001,2009,2009-01-01,96.95329216508227,94.06685417703095,99.96851822670229
V001,2010,2010-01-01,95.86144189235081,92.88349735093264,98.86956352809088
V001,2011,2011-01-01,96.13742077246765,92.95525118540017,99.14243074177409
V001,2012,2012-01-01,101.07598717386,98.12023462164767,104.082539828154
V001,2013,2013-01-01,103.20992970948558,100.28984510924971,105.97469698517314
V001,2014,2014-01-01,107.0917304199186,104.04242480838897,109.95622030234085
V001,2015,2015-01-01,107.02002509751318,104.06206181706354,109.95190510203906
V001,2016,2016-01-01,107.95287554615057,104.95192462781361,110.9269533251974
V001,2017,2017-01-01,108.40581288268858,105.60354058071731,111.50754225491353
V001,2018,2018-01-01,108.78455293664075,105.76226600166477,111.52219721963955
V001,2019,2019-01-01,108.67928596470442,105.56486836900058,111.62149785299296
V001,2020,2020-01-01,114.80923285100056,111.68106191272327,117.64538525341055
V001,2021,2021-01-01,120.61855143511754,117.55060165023501,123.70486940077942
V001,2022,2022-01-01,116.82553074965897,113.86761979743233,119.7586165122475
V001,2023,2023-01-01,113.57271562577036,110.59185752309175,116.63747799872357
V001,2024,2024-01-01,117.3005408973991,114.30017054139975,120.42700825310449
V001,2024,2024-12-31,118.84085957691035,115.90125506036594,121.90422196239469
V001,2025,2025-12-31,120.38117825642156,117.37706345371943,123.353318186046
V001,2026,2026-12-31,121.92149693593281,118.89653320262909,125.00137114012185
V001,2027,2027-12-31,123.46181561544402,120.7260050260931,126.494646043439
V001,2028,2028-12-31,125.00635434613201,122.00221168659769,128.01042300097396
V002,2005,2005-01-01,109.35238734877615,105.82789708565284,112.67385553381366
V002,2006,2006-01-01,112.364954541727,109.2386897005594,115.61645179206677
V002,2007,2007-01-01,113.25850533463381,109.96287002884293,116.49139650350754
V002,2008,2008-01-01,113.93048186546633,110.68886365445611,117.4048178106935
V002,2009,2009-01-01,116.7097689513874,113.40257933671997,119.97514033786273
V002,2010,2010-01-01,120.22503940017046,116.88271092691767,123.79566590822262
V002,2011,2011-01-01,121.7212915829132,118.15059143445548,125.11535062009798
V002,2012,2012-01-01,125.27790416874382,122.0092030615882,128.3967215333029
V002,2013,2013-01-01,124.50880252204101,121.19243705780092,127.87773165063318
V002,2014,2014-01-01,128.4516654773081,124.9010214429063,131.90821930102317
V002,2015,2015-01-01,129.46944492047612,126.10051319608013,132.73916450472578
V002,2016,2016-01-01,131.87706752635967,128.68434766486624,135.21455786532277
V002,2017,2017-01-01,134.10240252824386,130.9054712242088,137.3301446435942
V002,2018,2018-01-01,136.85344538213462,133.29309654747757,140.2820626032138
V002,2019,2019-01-01,137.39489731580878,134.032094980753,140.99089908240188
V002,2020,2020-01-01,141.2181076440454,137.70920834873013,144.35520256049108
V002,2021,2021-01-01,142.91651753738657,139.43350049065344,146.343084125869
V002,2022,2022-01-01,145.9467763574171,142.6634736576547,149.34074677509318
V002,2023,2023-01-01,143.87311644079563,140.4816883789388,147.00781600535538
V002,2024,2024-01-01,149.15176807907523,145.9061968332072,152.66730719214016
V002,2024,2024-12-31,151.32282234788767,148.0053251166787,154.72520752645508
V002,2025,2025-12-31,153.49387661670008,150.20246561302446,157.11862120447338
V002,2026,2026-12-31,155.66493088551252,152.42842945931835,158.70624428038536
V002,2027,2027-12-31,157.83598515432493,154.3530693164632,161.05249427214778
V002,2028,2028-12-31,160.0129875170245,156.6210666372673,163.3827152416602
V003,2005,2005-01-01,112.35589207596998,109.48843172515399,115.33581080418715
V003,2006,2006-01-01,114.26832833509965,111.49796657748178,117.4198293869949
V003,2007,2007-01-01,114.63675781373747,111.60721162847754,117.33908825359227
V003,2008,2008-01-01,111.89093441670502,109.08597815518426,114.94599090052002
V003,2009,2009-01-01,115.76728074126305,112.86134007025296,118.86075670691227
V003,2010,2010-01-01,118.61561857185445,115.6521656230066,121.53006236099043
V003,2011,2011-01-01,119.41328453654322,116.2649969471894,122.31351641483701
V003,2012,2012-01-01,125.54883694469811,122.6417732884593,128.6671596232993
V003,2013,2013-01-01,123.15529157748013,120.15307697133932,126.01799812228127
V003,2014,2014-01-01,123.98707099490716,121.06825954525264,126.89648666444239
V003,2015,2015-01-01,127.5178783928096,124.68688864540773,130.43178552596822
V003,2016,2016-01-01,128.78992553376844,125.68212980403304,131.6646826112828
V003,2017,2017-01-01,130.2657390964804,127.38153706876037,133.18491467581674
V003,2018,2018-01-01,125.74323897222692,122.92935620917314,128.7099310873987
V003,2019,2019-01-01,134.45673256932375,131.36319791321637,137.40737965283876
V003,2020,2020-01-01,136.12071397135162,133.26063855181417,139.30207158405494
V003,2021,2021-01-01,141.27634333597462,138.38987304774454,144.24578292710447
V003,2022,2022-01-01,142.14145254372218,139.23589106399,144.99386679535223
V003,2023,2023-01-01,142.47094503635486,139.4992069233239,145.28425377482807
V003,2024,2024-01-01,139.43976661466473,136.3717726204077,142.5206005174499
V003,2024,2024-12-31,141.26166436863207,138.19757005152732,144.4053902476245
V003,2025,2025-12-31,143.0835621225994,140.30169893416414,146.04214441665349
V003,2026,2026-12-31,144.9054598765667,141.78669793731885,147.76439586261915
V003,2027,2027-12-31,146.72735763053404,143.82245628904298,149.65534633308533
V003,2028,2028-12-31,148.5542468851972,145.64630865391595,151.4499823378213
V004,2005,2005-01-01,91.04386910967513,87.53465669006522,94.72964224268397
V004,2006,2006-01-01,100.3629860036957,96.92456481229524,103.5310869459186
V004,2007,2007-01-01,94.3382005087182,90.8408622673924,97.59943906215722
V004,2008,2008-01-01,98.28215994358423,94.93715273892118,102.02495716331559
V004,2009,2009-01-01,96.10307221132406,92.77747547329112,99.48720968788847
V004,2010,2010-01-01,104.62654135551875,100.91918241360607,108.09919304191384
V004,2011,2011-01-01,102.37274512080106,99.13227254431048,106.11249203596573
V004,2012,2012-01-01,105.89130750726528,102.39074958055521,109.22357793161694
V004,2013,2013-01-01,107.12038119484302,103.69260197594116,110.60565493895659
V004,2014,2014-01-01,104.99675684424936,101.8161119742017,108.52992450339596
