year,vendor_id,region,avg_price_per_kg,rainfall_index,temperature_avg,fertilizer_cost_index,government_incentive_score
2005,V001,Haryana,91.82,0.589,26.23,0.314,0.687
2006,V001,Haryana,91.89,0.701,26.39,0.399,0.621
2007,V001,Haryana,93.36,0.748,28.12,0.465,0.485
2008,V001,Haryana,92.1,0.415,26.59,0.397,0.543
2009,V001,Haryana,94.78,0.651,25.14,0.526,0.583
2010,V001,Haryana,99.0,0.595,24.36,0.436,0.572
2011,V001,Haryana,96.08,0.501,24.47,0.453,0.551
2012,V001,Haryana,97.59,0.706,25.29,0.428,0.541
2013,V001,Haryana,100.1,0.615,28.04,0.483,0.402
2014,V001,Haryana,108.65,0.582,27.87,0.633,0.602
2015,V001,Haryana,109.9,0.713,26.4,0.488,0.473
2016,V001,Haryana,105.13,0.679,27.2,0.367,0.624
2017,V001,Haryana,110.73,0.744,24.59,0.416,0.488
2018,V001,Haryana,107.0,0.526,24.86,0.447,0.779
2019,V001,Haryana,110.92,0.422,25.47,0.533,0.491
2020,V001,Haryana,116.87,0.712,26.21,0.483,0.528
2021,V001,Haryana,122.36,0.824,26.45,0.556,0.792
2022,V001,Haryana,118.09,0.534,27.66,0.485,0.629
2023,V001,Haryana,111.7,0.489,22.76,0.479,0.565
2024,V001,Haryana,114.78,0.444,24.19,0.547,0.739
2005,V002,Texas,112.31,0.659,25.21,0.373,0.52
2006,V002,Texas,111.69,0.66,27.26,0.393,0.654
2007,V002,Texas,111.93,0.57,27.34,0.399,0.518
2008,V002,Texas,111.05,0.482,26.18,0.422,0.521
2009,V002,Texas,117.35,0.581,26.0,0.421,0.397
2010,V002,Texas,120.74,0.698,24.52,0.406,0.603
2011,V002,Texas,126.26,0.702,24.65,0.465,0.553
2012,V002,Texas,123.66,0.726,26.55,0.404,0.497
2013,V002,Texas,122.4,0.606,26.52,0.535,0.359
2014,V002,Texas,127.11,0.642,27.96,0.471,0.454
2015,V002,Texas,131.77,0.536,27.43,0.443,0.367
2016,V002,Texas,132.41,0.659,24.69,0.472,0.469
2017,V002,Texas,131.67,0.658,23.38,0.4,0.368
2018,V002,Texas,132.2,0.704,25.51,0.472,0.433
2019,V002,Texas,139.82,0.475,26.26,0.449,0.482
2020,V002,Texas,143.55,0.635,27.72,0.48,0.447
2021,V002,Texas,146.66,0.623,27.48,0.535,0.565
2022,V002,Texas,141.61,0.69,27.35,0.529,0.634
2023,V002,Texas,142.46,0.439,23.65,0.504,0.334
2024,V002,Texas,151.85,0.71,25.3,0.511,0.315
2005,V003,Oklahoma,116.28,0.717,24.94,0.327,0.329
2006,V003,Oklahoma,113.51,0.813,23.9,0.33,0.496
2007,V003,Oklahoma,112.58,0.699,24.61,0.363,0.502
2008,V003,Oklahoma,107.39,0.464,23.42,0.444,0.518
2009,V003,Oklahoma,117.92,0.594,24.29,0.393,0.686
2010,V003,Oklahoma,122.89,0.685,23.05,0.468,0.379
2011,V003,Oklahoma,120.29,0.572,21.88,0.308,0.443
2012,V003,Oklahoma,122.05,0.741,25.3,0.351,0.295
2013,V003,Oklahoma,122.13,0.557,23.52,0.426,0.33
2014,V003,Oklahoma,124.88,0.429,25.05,0.387,0.449
2015,V003,Oklahoma,126.27,0.601,24.23,0.41,0.439
2016,V003,Oklahoma,131.11,0.548,24.92,0.462,0.375
2017,V003,Oklahoma,128.72,0.631,23.03,0.508,0.387
2018,V003,Oklahoma,124.78,0.3,21.62,0.548,0.599
2019,V003,Oklahoma,133.66,0.565,26.46,0.546,0.417
2020,V003,Oklahoma,136.14,0.54,24.57,0.429,0.36
2021,V003,Oklahoma,143.22,0.868,25.46,0.584,0.428
2022,V003,Oklahoma,139.51,0.789,23.82,0.51,0.327
2023,V003,Oklahoma,142.36,0.778,22.23,0.558,0.345
2024,V003,Oklahoma,142.2,0.389,22.58,0.498,0.432
2005,V004,Maharashtra,93.19,0.497,27.54,0.388,0.55
2006,V004,Maharashtra,101.97,0.775,27.84,0.387,0.439
2007,V004,Maharashtra,92.09,0.44,28.16,0.372,0.536
2008,V004,Maharashtra,94.78,0.407,28.6,0.319,0.45
2009,V004,Maharashtra,94.92,0.423,28.15,0.361,0.604
2010,V004,Maharashtra,104.08,0.771,24.56,0.36,0.583
2011,V004,Maharashtra,105.47,0.653,26.9,0.402,0.647
2012,V004,Maharashtra,102.94,0.634,27.61,0.398,0.574
2013,V004,Maharashtra,105.47,0.763,29.87,0.414,0.66
2014,V004,Maharashtra,109.14,0.302,27.97,0.422,0.547
2015,V004,Maharashtra,114.09,0.594,29.31,0.339,0.574
2016,V004,Maharashtra,120.35,0.736,27.62,0.439,0.618
2017,V004,Maharashtra,109.9,0.693,26.17,0.428,0.643
2018,V004,Maharashtra,109.92,0.497,27.21,0.497,0.669
2019,V004,Maharashtra,112.1,0.394,27.64,0.509,0.646
2020,V004,Maharashtra,122.69,0.779,29.5,0.594,0.498
2021,V004,Maharashtra,122.38,0.756,29.99,0.507,0.608
2022,V004,Maharashtra,124.85,0.794,28.74,0.556,0.633
2023,V004,Maharashtra,120.45,0.549,28.85,0.597,0.749
2024,V004,Maharashtra,129.75,0.443,26.58,0.595,0.426
2005,V005,Karnataka,98.99,0.549,26.19,0.267,0.582
2006,V005,Karnataka,98.14,0.501,27.9,0.443,0.479
2007,V005,Karnataka,102.18,0.619,26.3,0.367,0.487
2008,V005,Karnataka,100.59,0.746,27.44,0.325,0.772
2009,V005,Karnataka,102.24,0.503,26.51,0.383,0.463
2010,V005,Karnataka,111.17,0.544,24.97,0.405,0.5
2011,V005,Karnataka,108.68,0.672,26.82,0.306,0.496
2012,V005,Karnataka,110.08,0.511,26.11,0.508,0.629
2013,V005,Karnataka,110.3,0.464,27.75,0.454,0.418
2014,V005,Karnataka,115.13,0.455,29.03,0.462,0.509
2015,V005,Karnataka,113.9,0.608,28.13,0.435,0.583
2016,V005,Karnataka,116.31,0.723,25.93,0.512,0.485
2017,V005,Karnataka,122.61,0.642,24.51,0.558,0.352
2018,V005,Karnataka,118.94,0.542,25.39,0.5,0.561
2019,V005,Karnataka,115.85,0.526,26.71,0.487,0.601
